Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Office of the Chief Electoral Officer Assam,ELE.104/2023/187,2023_CEO_34339_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical documents,01-Dec-2023 05:15 PM,08-Jan-2024 12:00 PM,01-Dec-2023 05:15 PM,06-Jan-2024 05:00 PM,NA ,NA ,05-Dec-2023 03:00 PM,06-Jan-2024 05:00 PM,25-Jan-2024 01:45 PM,"30,000",No,fixed,,Nil,Nil,1.0,Date Extension,Date,,1.0,SBI Bank,"2,000",Nil,Nil,No,Chief Electoral Officer,"OFFICE OF THE CHIE ELECTORAL OFFICER, ASSAM",EMPANELMENT FOR SUPPLY OF STATIONERY and MISC ITEMS,EMPANELMENT FOR SUPPLY OF STATIONERY and MISC ITEMS,Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,180.0,NA ,Guwahati,781006.0,NA ,NA ,NA ,"O/o THE CHIE ELECTORAL OFFICER, ASSAM",No ,No,Office of the Chief Electoral Officer Assam,ELE.104/2023/187,2023_CEO_34339_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical documents,01-Dec-2023 05:15 PM,08-Jan-2024 12:00 PM,01-Dec-2023 05:15 PM,06-Jan-2024 05:00 PM,NA ,NA ,05-Dec-2023 03:00 PM,06-Jan-2024 05:00 PM,25-Jan-2024 01:45 PM,"30,000",No,fixed,,Nil,Nil,1.0,Date Extension,Date,,1.0,SBI Bank,"2,000",Nil,Nil,No,Chief Electoral Officer,"OFFICE OF THE CHIE ELECTORAL OFFICER, ASSAM",EMPANELMENT FOR SUPPLY OF STATIONERY and MISC ITEMS,EMPANELMENT FOR SUPPLY OF STATIONERY and MISC ITEMS,Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,180.0,NA ,Guwahati,781006.0,NA ,NA ,NA ,"O/o THE CHIE ELECTORAL OFFICER, ASSAM",No ,No,28-Feb-2024,INR 1,365.0,Debajit Baruah,28-Feb-2024 05:25 PM,AOC7Tenders.pdf (719.00 KB),1.0,214813.0,PAWAN PRINT HOUSE,INR,1.0,1.0,218904.0,Abdus Satter,06-Jan-2024 12:17 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,Finance,financial bid has been opened,Anurag Goel,25-Jan-2024 03:05 PM,None,BOQ Comparative Chart,CEO,Internal,,Anurag Goel,06-Feb-2024 12:44 PM,finsummary_55500.pdf (20523.28 KB),1.0,214813.0,PAWAN PRINT HOUSE,1.0,L1,Technical,TECHNICAL BID HAS BEEN OPENED .,Debajit Baruah,09-Jan-2024 04:36 PM,None,CEO,Internal,,Debajit Baruah,25-Jan-2024 01:36 PM,25-Jan-2024 01:45 PM,techsummary_55500.pdf (1187.54 KB),,,
,,,,,,,,,,,,,,,,.pdf,Bid document downloaded from the portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid document downloaded from the portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,214831.0,M/S TAMULI PRINTERS,INR,1.0,2.0,218818.0,A. G. ENTERPRISE,06-Jan-2024 01:18 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,,,,,2.0,214831.0,M/S TAMULI PRINTERS,1.0,L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,Price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,214835.0,M/S LONI ENTERPRISE,INR,1.0,3.0,217484.0,ANI ENTERPRISE,05-Jan-2024 05:14 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,,,,,3.0,214835.0,M/S LONI ENTERPRISE,1.0,L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,214840.0,M/S Patgiri Trading,INR,1.0,4.0,219122.0,ANKITA ENTERPRISE,06-Jan-2024 01:12 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,,,,,4.0,214840.0,M/S Patgiri Trading,1.0,L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,215013.0,M/S Abhiruchi Enterprise,INR,1.0,5.0,218921.0,ANONDA BEY,05-Jan-2024 05:55 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,,,,,5.0,215013.0,M/S Abhiruchi Enterprise,1.0,L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,215049.0,S. B. ENTERPRISE,INR,1.0,6.0,218727.0,ASHIRBAD COMPUTER SOFT,05-Jan-2024 05:35 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,,,,,6.0,215049.0,S. B. ENTERPRISE,1.0,L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,215083.0,D.I. STATIONERIES,INR,1.0,7.0,218853.0,Asomi Enterprise,05-Jan-2024 06:43 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,,,,,7.0,215083.0,D.I. STATIONERIES,1.0,L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,215130.0,SUBRATA SAHA,INR,1.0,8.0,218604.0,BARPETA OFFSET PRESS,06-Jan-2024 12:14 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,,,,,8.0,215130.0,SUBRATA SAHA,1.0,L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,215134.0,PRITAM DEB,INR,1.0,9.0,219224.0,Baruah Stores,06-Jan-2024 03:43 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,,,,,9.0,215134.0,PRITAM DEB,1.0,L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,215150.0,BILIN ADHIKARY,INR,1.0,10.0,219134.0,BHASKAR JYOTI NATH,06-Jan-2024 11:36 AM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,,,,,10.0,215150.0,BILIN ADHIKARY,1.0,L1,,,,,,,,,,,,,,,
