Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender ID :,Tender Ref No :,Tender Title :
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_34_JJM_PB_22_23_T_8218_24,2023_PHED_31275_2,Yes,Open Tender,Item Rate,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BoQ,21-Jun-2023 10:00 AM,20-Jul-2023 03:00 PM,21-Jun-2023 10:00 AM,19-Jul-2023 04:00 PM,NA ,NA ,21-Jun-2023 11:00 AM,19-Jul-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum-01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 02 Fixation of Rates for additional items of New PWSS under JJM Assam for PHE Divisions under Guwahati Circle,PKG 02 Fixation of Rates for additional items of New Piped Water Supply Schemes to be executed under JJM Assam for PHE Divisions under Guwahati Circle,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Rate Contract,120.0,365.0,Guwahati,781021.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_34_JJM_PB_22_23_T_8218_24,2023_PHED_31275_2,Yes,Open Tender,Item Rate,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BoQ,21-Jun-2023 10:00 AM,20-Jul-2023 03:00 PM,21-Jun-2023 10:00 AM,19-Jul-2023 04:00 PM,NA ,NA ,21-Jun-2023 11:00 AM,19-Jul-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum-01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 02 Fixation of Rates for additional items of New PWSS under JJM Assam for PHE Divisions under Guwahati Circle,PKG 02 Fixation of Rates for additional items of New Piped Water Supply Schemes to be executed under JJM Assam for PHE Divisions under Guwahati Circle,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Rate Contract,120.0,365.0,Guwahati,781021.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,09-Aug-2024,INR 1,365.0,Milan Kalita,12-Aug-2024 12:08 PM,PKG_02_GuwahatiCircle.pdf (765.00 KB),1.0,188097.0,M/S B.S. ENTERPRISE,INR,1.0,1.0,190683.0,ABDUL AOWAL,11-Jul-2023 03:06 AM,Accepted-AOC,Awarded,12-Aug-2024 12:14 PM,Finance,Bid has been open,Milan Kalita,09-Aug-2024 03:13 PM,None,BOQ Comparative Chart,Chief Engineer,Internal,,Milan Kalita,09-Aug-2024 04:48 PM,finsummary_50098.pdf (765.17 KB),1.0,188097.0,M/S B.S. ENTERPRISE,1.0,L1,Chief Engineer,Internal,,Milan Kalita,09-Aug-2024 03:34 PM,techsummary_50098.pdf (765.17 KB),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,188119.0,Seacrow EPC Contractors LLP,INR,1.0,2.0,190697.0,ABDUL GAFUR,11-Jul-2023 03:51 AM,Accepted-AOC,Awarded,12-Aug-2024 12:14 PM,,,,,,,,,,,,,2.0,188119.0,Seacrow EPC Contractors LLP,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,188667.0,NUR HUSSAIN ALI,INR,1.0,3.0,192570.0,ABDUL GOFUR KHAN,18-Jul-2023 08:59 PM,Accepted-AOC,Awarded,12-Aug-2024 12:14 PM,,,,,,,,,,,,,3.0,188667.0,NUR HUSSAIN ALI,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,188725.0,Sanjay Das,INR,1.0,4.0,190790.0,ABDUL HAI,11-Jul-2023 09:09 AM,Accepted-AOC,Awarded,12-Aug-2024 12:14 PM,,,,,,,,,,,,,4.0,188725.0,Sanjay Das,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,188874.0,NURMAL HUSSAIN,INR,1.0,5.0,190725.0,ABDUL HAKIM,11-Jul-2023 06:16 AM,Accepted-AOC,Awarded,12-Aug-2024 12:14 PM,,,,,,,,,,,,,5.0,188874.0,NURMAL HUSSAIN,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,189184.0,SHAHIDUL AHMED,INR,1.0,6.0,190693.0,ABDUL HAKIM,11-Jul-2023 03:36 AM,Accepted-AOC,Awarded,12-Aug-2024 12:14 PM,,,,,,,,,,,,,6.0,189184.0,SHAHIDUL AHMED,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,189199.0,TOMEZ UDDIN AHMED,INR,1.0,7.0,192757.0,ABDUL HAMID,19-Jul-2023 02:52 PM,Accepted-AOC,Awarded,12-Aug-2024 12:14 PM,,,,,,,,,,,,,7.0,189199.0,TOMEZ UDDIN AHMED,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,189282.0,M/S DAS ENTERPRISE,INR,1.0,8.0,190920.0,ABDUL HANNAN,11-Jul-2023 11:37 AM,Accepted-AOC,Awarded,12-Aug-2024 12:14 PM,,,,,,,,,,,,,8.0,189282.0,M/S DAS ENTERPRISE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,189283.0,Gokul Chetri,INR,1.0,9.0,191905.0,Abdul Kaddus,15-Jul-2023 01:20 PM,Accepted-AOC,Awarded,12-Aug-2024 12:14 PM,,,,,,,,,,,,,9.0,189283.0,Gokul Chetri,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,189300.0,BRAHMAPUTRA COMMERCE AND TRADE,INR,1.0,10.0,190670.0,ABDULLAH,11-Jul-2023 01:41 AM,Accepted-AOC,Awarded,12-Aug-2024 12:14 PM,,,,,,,,,,,,,10.0,189300.0,BRAHMAPUTRA COMMERCE AND TRADE,1.0,L1,,,,,,,,,
