Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender ID :,Tender Ref No :,Tender Title :
Directorate of Agriculture and Assam Seed Corporation,A/E/4972/EM/SMAM/22-23/295,2023_DAASC_30052_1,Yes,Open Tender,Empanelment,Goods,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Qualification documents,23-Mar-2023 10:00 AM,24-Apr-2023 01:30 PM,23-Mar-2023 10:00 AM,24-Apr-2023 01:00 PM,NA ,NA ,23-Mar-2023 10:00 AM,24-Apr-2023 01:00 PM,"1,00,000",Yes,fixed,,Nil,Nil,1.0,Date Corrigendum,Date,,1.0,SBI Bank,"1,000",Nil,Nil,Yes,"Director of Agricukture, Assam","Krishi Bhawan, KHanapara, Guwahati-22",Empanelment for Manufacturers of Agricultural Machinery,Empanelment for Manufacturers of Agricultural Machinery,Refer as tender documents ,NA ,,Machineries,NA ,Empanelment,90.0,365.0,Khanapara,781022.0,"O/o the Chief Engineer, Agriculture, Assam ","Directorate of Agriculture, Assam ",13-Apr-2023 11:00 AM ,"O/o the Chief Engineer, Agriculture, Assam",No ,No,Directorate of Agriculture and Assam Seed Corporation,A/E/4972/EM/SMAM/22-23/295,2023_DAASC_30052_1,Yes,Open Tender,Empanelment,Goods,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Qualification documents,23-Mar-2023 10:00 AM,24-Apr-2023 01:30 PM,23-Mar-2023 10:00 AM,24-Apr-2023 01:00 PM,NA ,NA ,23-Mar-2023 10:00 AM,24-Apr-2023 01:00 PM,"1,00,000",Yes,fixed,,Nil,Nil,1.0,Date Corrigendum,Date,,1.0,SBI Bank,"1,000",Nil,Nil,Yes,"Director of Agricukture, Assam","Krishi Bhawan, KHanapara, Guwahati-22",Empanelment for Manufacturers of Agricultural Machinery,Empanelment for Manufacturers of Agricultural Machinery,Refer as tender documents ,NA ,,Machineries,NA ,Empanelment,90.0,365.0,Khanapara,781022.0,"O/o the Chief Engineer, Agriculture, Assam ","Directorate of Agriculture, Assam ",13-Apr-2023 11:00 AM ,"O/o the Chief Engineer, Agriculture, Assam",No ,No,20-Jun-2024,INR 0,365.0,Upasana Devi,20-Jun-2024 04:53 PM,AOC.pdf (1295.00 KB),As per DBC mintes,1.0,181076.0,Honda India Power Products Limited,INR,0.0,1.0,182288.0,ACTION CONSTRUCTION EQUIPMENT LIMITED,05-Apr-2023 03:51 PM,Rejected-Technical,As per DBC minutes9,29-Jul-2023 12:23 PM,Finance,Technical cover is opened and processed for evaluation,Upasana Devi,24-Apr-2023 03:31 PM,None,DoA,Internal,"DoH, Sr. FA, MD- Seed etc",Upasana Devi,20-Jun-2024 04:37 PM,finsummary_48288.pdf (9599.93 KB),1.0,181076.0,Honda India Power Products Limited,0.0,1.0,DoA,Internal,"Doh, Sr.FA, MD-Seeds, CE(Agri), etc.",Upasana Devi,29-Jul-2023 12:23 PM,techsummary_48288.pdf (9584.58 KB),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Technical,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Technical,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,181079.0,CNH Industrial India Private Limited,INR,0.0,2.0,181186.0,AGRIKING TRACTORS AND EQUIPMENTS PVT LTD,25-Mar-2023 01:36 PM,Rejected-Technical,As per DBC minutes1,29-Jul-2023 12:23 PM,,,,,,,,,,,,2.0,181079.0,CNH Industrial India Private Limited,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,181266.0,VARSHAA AGRO MACH ENGG PVT LTD,INR,0.0,3.0,182959.0,AMAR AGRICULTURAL IMPLEMENTS WORKS,12-Apr-2023 11:23 AM,Accepted-AOC,As per DBC minutes,20-Jun-2024 04:53 PM,,,,,,,,,,,,3.0,181266.0,VARSHAA AGRO MACH ENGG PVT LTD,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,181319.0,VARDHMAN AGENCIES,INR,0.0,4.0,182529.0,Apogee Precision Lasers,12-Apr-2023 12:39 PM,Rejected-Technical,As per DBC minutes14,29-Jul-2023 12:23 PM,,,,,,,,,,,,4.0,181319.0,VARDHMAN AGENCIES,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,181564.0,FARM AND GARDEN TECHNOLOGIES PRIVATE LIMITED,INR,0.0,5.0,184312.0,BANABETHI,22-Apr-2023 08:25 PM,Accepted-AOC,As per DBC minutes,20-Jun-2024 04:53 PM,,,,,,,,,,,,5.0,181564.0,FARM AND GARDEN TECHNOLOGIES PRIVATE LIMITED,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,181690.0,NIPHA INDIA PVT LTD,INR,0.0,6.0,182515.0,BCS INDIA PRIVATE LIMITED,08-Apr-2023 05:00 PM,Rejected-Technical,As per DBC minutes13,29-Jul-2023 12:23 PM,,,,,,,,,,,,6.0,181601.0,KISANKRAFT LIMITED,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,181712.0,JAI GURUDEV INDUSTRIES,INR,0.0,7.0,182028.0,Benson Agro Engineering,04-Apr-2023 04:10 AM,Rejected-AOC,As per DBC minutes,20-Jun-2024 04:53 PM,,,,,,,,,,,,7.0,181690.0,NIPHA INDIA PVT LTD,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,181766.0,INDRA MARSHAL POWER PVT. LTD.,INR,0.0,8.0,182278.0,BERI UDYOG PRIVATE LIMITED,07-Apr-2023 06:24 PM,Accepted-AOC,As per DBC minutes,20-Jun-2024 04:53 PM,,,,,,,,,,,,8.0,181712.0,JAI GURUDEV INDUSTRIES,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,181822.0,Motor & General Sales Pvt Ltd,INR,0.0,9.0,183995.0,BHAGWAN ENGG WORKS,20-Apr-2023 06:30 PM,Rejected-Technical,As per DBC minutes21,29-Jul-2023 12:23 PM,,,,,,,,,,,,9.0,181758.0,VSM INTERNATIONAL PRIVATE LIMITED,0.0,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,181832.0,RATNAGIRI IMPEX PRIVATE LIMITED,INR,0.0,10.0,182634.0,BHARAT AGRO ENGINEERING,10-Apr-2023 12:05 PM,Rejected-AOC,As per DBC minutes,20-Jun-2024 04:53 PM,,,,,,,,,,,,10.0,181766.0,INDRA MARSHAL POWER PVT. LTD.,0.0,1.0,,,,,,,,,
