Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender ID :,Tender Ref No :,Tender Title :
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_24_JJM_PB_23_24_T_13165_71,2023_PHED_32115_2,Yes,Open Tender,Works,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,18-Aug-2023 10:00 AM,16-Sep-2023 03:00 PM,18-Aug-2023 10:00 AM,15-Sep-2023 04:00 PM,NA ,NA ,18-Aug-2023 11:00 AM,15-Sep-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum_01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 02 FIXATION OF RATES FOR ADDITIONAL ITEM FHTC WITH WATER STORAGE TANK MEANT FOR NEW PWSS UNDER GUWAHATI CIRCLE UNDER JJM ASSAM,PKG 02 FIXATION OF RATES FOR THE ADDITIONAL ITEM FUNCTIONAL HOUSEHOLD TAP CONNECTION WITH WATER STORAGE TANK MEANT TO BE PROVIDED TO NEW PIPED WATER SUPPLY SCHEMES UNDER GUWAHATI CIRCLE UNDER JAL JEEVAN MISSION ASSAM,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Tender,180.0,365.0,GUWAHATI,781021.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_24_JJM_PB_23_24_T_13165_71,2023_PHED_32115_2,Yes,Open Tender,Works,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,18-Aug-2023 10:00 AM,16-Sep-2023 03:00 PM,18-Aug-2023 10:00 AM,15-Sep-2023 04:00 PM,NA ,NA ,18-Aug-2023 11:00 AM,15-Sep-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum_01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 02 FIXATION OF RATES FOR ADDITIONAL ITEM FHTC WITH WATER STORAGE TANK MEANT FOR NEW PWSS UNDER GUWAHATI CIRCLE UNDER JJM ASSAM,PKG 02 FIXATION OF RATES FOR THE ADDITIONAL ITEM FUNCTIONAL HOUSEHOLD TAP CONNECTION WITH WATER STORAGE TANK MEANT TO BE PROVIDED TO NEW PIPED WATER SUPPLY SCHEMES UNDER GUWAHATI CIRCLE UNDER JAL JEEVAN MISSION ASSAM,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Tender,180.0,365.0,GUWAHATI,781021.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,23-Jul-2024,INR 1,365.0,Milan Kalita,24-Jul-2024 03:07 PM,RFP_28_Guwahati_Circle.pdf (836.00 KB),1.0,196159.0,r r enterprise,INR,1.0,1.0,198427.0,AASTHA ENTERPRISE & CONSTRUCTION,06-Sep-2023 12:11 PM,Accepted-AOC,Awarded,24-Jul-2024 03:14 PM,Finance,Bid has been open,Milan Kalita,19-Jul-2024 05:06 PM,None,BOQ Comparative Chart,Chief Engineer,Internal,,Milan Kalita,20-Jul-2024 12:31 PM,finsummary_51552.pdf (795.38 KB),1.0,196159.0,r r enterprise,1.0,L1,Chief Engineer,Internal,,Milan Kalita,19-Jul-2024 05:39 PM,techsummary_51552.pdf (795.38 KB),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,196564.0,ATOWAR RAHMAN,INR,1.0,2.0,199496.0,ABDUL AOWAL,07-Sep-2023 02:35 PM,Accepted-AOC,Awarded,24-Jul-2024 03:14 PM,,,,,,,,,,,,,2.0,196564.0,ATOWAR RAHMAN,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,196763.0,MOTIOR RAHMAN,INR,1.0,3.0,200943.0,ABDUL ARIF,14-Sep-2023 01:50 PM,Accepted-AOC,Awarded,24-Jul-2024 03:14 PM,,,,,,,,,,,,,3.0,196763.0,MOTIOR RAHMAN,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,196775.0,KABIR AKRAM HUSSAIN,INR,1.0,4.0,199044.0,ABDUL GAFUR,07-Sep-2023 06:02 AM,Accepted-AOC,Awarded,24-Jul-2024 03:14 PM,,,,,,,,,,,,,4.0,196775.0,KABIR AKRAM HUSSAIN,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,196780.0,M R ENTERPRISE,INR,1.0,5.0,201108.0,ABDUL GOFUR KHAN,14-Sep-2023 07:38 PM,Accepted-AOC,Awarded,24-Jul-2024 03:14 PM,,,,,,,,,,,,,5.0,196780.0,M R ENTERPRISE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,196803.0,HABIZ UDDIN,INR,1.0,6.0,198329.0,ABDUL HAI,06-Sep-2023 08:47 AM,Accepted-AOC,Awarded,24-Jul-2024 03:14 PM,,,,,,,,,,,,,6.0,196803.0,HABIZ UDDIN,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,196883.0,NITISH KUMAR DAS,INR,1.0,7.0,199399.0,ABDUL HAKIM,07-Sep-2023 01:42 PM,Accepted-AOC,Awarded,24-Jul-2024 03:14 PM,,,,,,,,,,,,,7.0,196883.0,NITISH KUMAR DAS,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,197003.0,BAPAN RAHMAN,INR,1.0,8.0,198992.0,ABDUL HAKIM,07-Sep-2023 02:11 AM,Accepted-AOC,Awarded,24-Jul-2024 03:14 PM,,,,,,,,,,,,,8.0,197003.0,BAPAN RAHMAN,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,197008.0,MOYNUL HOQUE,INR,1.0,9.0,198203.0,ABDUL HAMID,05-Sep-2023 06:08 PM,Accepted-AOC,Awarded,24-Jul-2024 03:14 PM,,,,,,,,,,,,,9.0,197008.0,MOYNUL HOQUE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,197016.0,NIBARAN BORO,INR,1.0,10.0,201645.0,ABDUL HASIM,15-Sep-2023 03:21 PM,Accepted-AOC,Awarded,24-Jul-2024 03:14 PM,,,,,,,,,,,,,10.0,197016.0,NIBARAN BORO,1.0,L1,,,,,,,,,
