Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender ID :,Tender Ref No :,Tender Title :
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_34_JJM_PB_22_23_T_8218_24,2023_PHED_31275_4,Yes,Open Tender,Item Rate,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BoQ,21-Jun-2023 10:00 AM,20-Jul-2023 03:00 PM,21-Jun-2023 10:00 AM,19-Jul-2023 04:00 PM,NA ,NA ,21-Jun-2023 11:00 AM,19-Jul-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum-01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 04 Fixation of Rates for additional items of New PWSS under JJM Assam for PHE Divisions under Tezpur Circle,PKG 04 Fixation of Rates for additional items of New Piped Water Supply Schemes to be executed under JJM Assam for PHE Divisions under Tezpur Circle,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Rate Contract,120.0,365.0,Tezpur,784001.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_34_JJM_PB_22_23_T_8218_24,2023_PHED_31275_4,Yes,Open Tender,Item Rate,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BoQ,21-Jun-2023 10:00 AM,20-Jul-2023 03:00 PM,21-Jun-2023 10:00 AM,19-Jul-2023 04:00 PM,NA ,NA ,21-Jun-2023 11:00 AM,19-Jul-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum-01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 04 Fixation of Rates for additional items of New PWSS under JJM Assam for PHE Divisions under Tezpur Circle,PKG 04 Fixation of Rates for additional items of New Piped Water Supply Schemes to be executed under JJM Assam for PHE Divisions under Tezpur Circle,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Rate Contract,120.0,365.0,Tezpur,784001.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,12-Aug-2024,INR 1,365.0,Milan Kalita,12-Aug-2024 05:49 PM,PKG_04_TezpurCircle.pdf (758.00 KB),1.0,188084.0,BHUBANESWAR BARUAH,INR,1.0,1.0,190930.0,ABDUL HANNAN,11-Jul-2023 11:41 AM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,Finance,Bid has been opened,Milan Kalita,12-Aug-2024 04:26 PM,None,BOQ Comparative Chart,Chief Engineer,Internal,,Milan Kalita,12-Aug-2024 05:20 PM,finsummary_50101.pdf (757.89 KB),1.0,188084.0,BHUBANESWAR BARUAH,1.0,L1,Chief Engineer,Internal,,Milan Kalita,12-Aug-2024 04:37 PM,techsummary_50101.pdf (757.89 KB),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,188765.0,M/s S ENTERPRISE,INR,1.0,2.0,192335.0,ABOUSORIF ASHIK IKBAL,18-Jul-2023 12:23 PM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,2.0,188765.0,M/s S ENTERPRISE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,189055.0,BIPUL KR SARMA,INR,1.0,3.0,189609.0,Ahmed Asraf,08-Jul-2023 11:45 AM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,3.0,189055.0,BIPUL KR SARMA,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,189092.0,SRI RATUL CH DEKA,INR,1.0,4.0,192061.0,Amar Paul,17-Jul-2023 10:54 AM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,4.0,189092.0,SRI RATUL CH DEKA,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,189128.0,MAKUNDA DEKA,INR,1.0,5.0,191281.0,ANIL KUMAR SINGH,11-Jul-2023 02:50 PM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,5.0,189128.0,MAKUNDA DEKA,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,189226.0,TOMEZ UDDIN AHMED,INR,1.0,6.0,190881.0,ANUPAM KONCH,11-Jul-2023 11:10 AM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,6.0,189226.0,TOMEZ UDDIN AHMED,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,189249.0,Mamun Ikramul Haque Chowdhury,INR,1.0,7.0,192768.0,ANUP KUMAR RATHI,19-Jul-2023 03:23 PM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,7.0,189249.0,Mamun Ikramul Haque Chowdhury,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,189289.0,BRAHMAPUTRA COMMERCE AND TRADE,INR,1.0,8.0,192044.0,Anwar Hussain,16-Jul-2023 09:19 PM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,8.0,189289.0,BRAHMAPUTRA COMMERCE AND TRADE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,189318.0,M/S DAS ENTERPRISE,INR,1.0,9.0,190106.0,AYNUL HOQUE,09-Jul-2023 11:55 PM,Accepted-AOC,Awarded,12-Aug-2024 05:49 PM,,,,,,,,,,,,,9.0,189318.0,M/S DAS ENTERPRISE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,189331.0,SRI TARUN DEKA,INR,1.0,10.0,191938.0,BAHARUL ISLAM,15-Jul-2023 04:04 PM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,10.0,189331.0,SRI TARUN DEKA,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,189349.0,RAUCHAN GHATOWAR,INR,1.0,11.0,189507.0,Bhharundia Construction,08-Jul-2023 12:12 PM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,11.0,189349.0,RAUCHAN GHATOWAR,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,189390.0,DIPAK DEKA,INR,1.0,12.0,188084.0,BHUBANESWAR BARUAH,01-Jul-2023 08:32 PM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,12.0,189390.0,DIPAK DEKA,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,189404.0,J & D ENTERPRISE,INR,1.0,13.0,190263.0,Bikash Enterprises,10-Jul-2023 01:16 PM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,13.0,189404.0,J & D ENTERPRISE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,189416.0,TRIDIP RANJAN DUTTA,INR,1.0,14.0,189055.0,BIPUL KR SARMA,05-Jul-2023 01:20 PM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,14.0,189416.0,TRIDIP RANJAN DUTTA,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,189462.0,Md Alaluddin,INR,1.0,15.0,189289.0,BRAHMAPUTRA COMMERCE AND TRADE,06-Jul-2023 05:18 PM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,15.0,189462.0,Md Alaluddin,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,189466.0,RAJENDRA MALLA,INR,1.0,16.0,192456.0,CHANDAN SAIKIA,18-Jul-2023 04:05 PM,Accepted-AOC,Accepted,12-Aug-2024 05:49 PM,,,,,,,,,,,,,16.0,189466.0,RAJENDRA MALLA,1.0,L1,,,,,,,,,
