Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender ID :,Tender Ref No :,Tender Title :
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_24_JJM_PB_23_24_T_16028_34,2023_PHED_32790_1,Yes,Open Tender,Works,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,06-Oct-2023 10:00 AM,04-Nov-2023 03:00 PM,06-Oct-2023 10:00 AM,03-Nov-2023 04:00 PM,NA ,NA ,06-Oct-2023 11:00 AM,03-Nov-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum_01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 01 FIXATION OF RATES FOR ADDITIONAL ITEMS OF NEW PWSS UNDER REMOTE AREAS TO BE EXECUTED UNDER JJM ASSAM,PKG 01 FIXATION OF RATES FOR ADDITIONAL ITEMS OF NEW PIPED WATER SUPPLY SCHEMES TO BE EXECUTED UNDER JAL JEEVAN MISSION ASSAM FOR PHE DIVISIONS OF REMOTE AREAS ie UNDER DHEMAJI AND MAJULI DISTRICTS AND SADIA SUBDIVISION OF TINSUKIA DISTRICT OF ASSAM,Please refer Tender documents.  ,NA ,0.0,Civil Works - Water Works,NA ,Tender,180.0,365.0,DHEMAJI,787057.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_24_JJM_PB_23_24_T_16028_34,2023_PHED_32790_1,Yes,Open Tender,Works,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,06-Oct-2023 10:00 AM,04-Nov-2023 03:00 PM,06-Oct-2023 10:00 AM,03-Nov-2023 04:00 PM,NA ,NA ,06-Oct-2023 11:00 AM,03-Nov-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum_01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 01 FIXATION OF RATES FOR ADDITIONAL ITEMS OF NEW PWSS UNDER REMOTE AREAS TO BE EXECUTED UNDER JJM ASSAM,PKG 01 FIXATION OF RATES FOR ADDITIONAL ITEMS OF NEW PIPED WATER SUPPLY SCHEMES TO BE EXECUTED UNDER JAL JEEVAN MISSION ASSAM FOR PHE DIVISIONS OF REMOTE AREAS ie UNDER DHEMAJI AND MAJULI DISTRICTS AND SADIA SUBDIVISION OF TINSUKIA DISTRICT OF ASSAM,Please refer Tender documents.  ,NA ,0.0,Civil Works - Water Works,NA ,Tender,180.0,365.0,DHEMAJI,787057.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,17-Jul-2024,INR 1,365.0,Debarshi Mahanta,17-Jul-2024 01:07 PM,Remote_area_pkg01.pdf (6414.00 KB),1.0,203227.0,RITUPARNA CHUTIA,INR,1.0,1.0,207209.0,ABHIJIT GOGOI,28-Oct-2023 12:20 PM,Accepted-AOC,Awarded,17-Jul-2024 01:08 PM,Finance,Opening Summery,Debarshi Mahanta,10-Jul-2024 01:44 PM,finance_52708.pdf,BOQ Comparative Chart,Chief Engineer,Internal,,Debarshi Mahanta,15-Jul-2024 11:17 AM,finsummary_52708.pdf (4853.02 KB),1.0,203227.0,RITUPARNA CHUTIA,1.0,L1,Chief Engineer,Internal,,Debarshi Mahanta,15-Jul-2024 11:01 AM,techsummary_52708.pdf (4853.02 KB),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,203240.0,DIJIT CHUTIA,INR,1.0,2.0,204796.0,AJIT DAHAL,17-Oct-2023 03:07 PM,Accepted-AOC,Awarded,17-Jul-2024 01:08 PM,,,,,,,,,,,,,2.0,203240.0,DIJIT CHUTIA,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,203245.0,RINGMONI BORAH DUTTA,INR,1.0,3.0,208446.0,ALEXENDER PEGU,03-Nov-2023 01:52 PM,Accepted-AOC,Awarded,17-Jul-2024 01:08 PM,,,,,,,,,,,,,3.0,203245.0,RINGMONI BORAH DUTTA,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,203250.0,DIPEN BORUAH,INR,1.0,4.0,205892.0,Apaw Patir,23-Oct-2023 03:05 PM,Accepted-AOC,Awarded,17-Jul-2024 01:08 PM,,,,,,,,,,,,,4.0,203250.0,DIPEN BORUAH,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,203298.0,BRAHMAPUTRA COMMERCE AND TRADE,INR,1.0,5.0,205471.0,ARUPJYOTI MAHANTA,20-Oct-2023 04:08 PM,Accepted-AOC,Awarded,17-Jul-2024 01:08 PM,,,,,,,,,,,,,5.0,203298.0,BRAHMAPUTRA COMMERCE AND TRADE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,203575.0,CHIRAN KUMAR GOGOI,INR,1.0,6.0,206688.0,AUSHI NANDI,26-Oct-2023 01:53 PM,Accepted-AOC,Awarded,17-Jul-2024 01:08 PM,,,,,,,,,,,,,6.0,203575.0,CHIRAN KUMAR GOGOI,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,203581.0,THANURAM KONWAR,INR,1.0,7.0,205966.0,BABU DCHAMUAH,24-Oct-2023 01:33 PM,Accepted-AOC,Awarded,17-Jul-2024 01:08 PM,,,,,,,,,,,,,7.0,203581.0,THANURAM KONWAR,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,203848.0,KHEMRAJ LAGACHU,INR,1.0,8.0,204209.0,BENJAMIN DOLEY,14-Oct-2023 03:35 PM,Accepted-AOC,Awarded,17-Jul-2024 01:08 PM,,,,,,,,,,,,,8.0,203848.0,KHEMRAJ LAGACHU,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,203860.0,Dibya Jyoti Hazarika,INR,1.0,9.0,208213.0,BHASKAR SAIKIA,02-Nov-2023 04:37 PM,Accepted-AOC,Awarded,17-Jul-2024 01:08 PM,,,,,,,,,,,,,9.0,203860.0,Dibya Jyoti Hazarika,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,203864.0,BIMAL KUMAR GOGOI,INR,1.0,10.0,206418.0,Bikash Saikia,26-Oct-2023 09:37 AM,Accepted-AOC,Awarded,17-Jul-2024 01:08 PM,,,,,,,,,,,,,10.0,203864.0,BIMAL KUMAR GOGOI,1.0,L1,,,,,,,,,
