Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.3,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.4,Bid Number.2,Bidder Name.2,Value,Rank,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender ID :,Tender Ref No :,Tender Title :
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,RGRWSM_564_Pt_I_2019_20_2283,2023_PHED_33876_1,Yes,Open Tender,EOI,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical qualification document as per Bid document and EMD if in the form of BG,14-Nov-2023 10:00 AM,12-Dec-2023 04:00 PM,14-Nov-2023 10:00 AM,11-Dec-2023 04:00 PM,NA ,NA ,14-Nov-2023 10:00 AM,11-Dec-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum_01,Date,,1.0,SBI Bank,"1,000",Nil,Nil,No,CE PHE Sanitation Assam,"Hengrabari, Guwahati-36",Installation and Maintenance of Community Level Biogas Plant under Galvanizing Organic Bio Agro Resources Dhan scheme under SBM G Assam,"Installation, Commissioning, Operation and Maintenance of Community Level Biogas Plants up to a capacity of 2 TPD under Galvanizing Organic Bio Agro Resources Dhan (Gobardhan) scheme under SBM-G Assam",Please refer Tender documents. ,NA ,0.0,Civil Works,NA ,Empanelment,120.0,365.0,All Assam,781036.0,O O The CE PHE Sanitation Assam ,"Hengrabari, Guwahati-36 ",23-Nov-2023 12:00 PM ,O O CE PHE Water Assam,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,RGRWSM_564_Pt_I_2019_20_2283,2023_PHED_33876_1,Yes,Open Tender,EOI,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical qualification document as per Bid document and EMD if in the form of BG,14-Nov-2023 10:00 AM,12-Dec-2023 04:00 PM,14-Nov-2023 10:00 AM,11-Dec-2023 04:00 PM,NA ,NA ,14-Nov-2023 10:00 AM,11-Dec-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum_01,Date,,1.0,SBI Bank,"1,000",Nil,Nil,No,CE PHE Sanitation Assam,"Hengrabari, Guwahati-36",Installation and Maintenance of Community Level Biogas Plant under Galvanizing Organic Bio Agro Resources Dhan scheme under SBM G Assam,"Installation, Commissioning, Operation and Maintenance of Community Level Biogas Plants up to a capacity of 2 TPD under Galvanizing Organic Bio Agro Resources Dhan (Gobardhan) scheme under SBM-G Assam",Please refer Tender documents. ,NA ,0.0,Civil Works,NA ,Empanelment,120.0,365.0,All Assam,781036.0,O O The CE PHE Sanitation Assam ,"Hengrabari, Guwahati-36 ",23-Nov-2023 12:00 PM ,O O CE PHE Water Assam,No ,No,24-Jul-2024,INR 1,365.0,Milan Kalita,24-Jul-2024 04:25 PM,AOC_EOI_01_2023_24_BioGas_SBM_G.pdf (559.00 KB),1.0,211476.0,Greeneria Renewable Technologies Pvt Ltd,INR,1.0,1.0,214674.0,ABDUL HANNAN,10-Dec-2023 05:24 PM,Accepted-AOC,Awarded,24-Jul-2024 04:25 PM,Finance,Opening Summery,Milan Kalita,08-Jul-2024 12:34 PM,finance_54669.pdf,Chief Engineer,Internal,,Milan Kalita,24-Jul-2024 04:10 PM,finsummary_54669.pdf (648.01 KB),1.0,211476.0,Greeneria Renewable Technologies Pvt Ltd,1.0,L1,Chief Engineer,Internal,,Milan Kalita,24-Jul-2024 03:46 PM,techsummary_54669.pdf (648.01 KB),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum-01,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum-01,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,212198.0,SATISH R LAL,INR,1.0,2.0,213151.0,Abdul Salam,29-Nov-2023 11:54 AM,Accepted-AOC,Awarded,24-Jul-2024 04:25 PM,,,,,,,,,,,,2.0,212198.0,SATISH R LAL,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,212944.0,Tusanta Kalita,INR,1.0,3.0,214178.0,Abdus Subhan,04-Dec-2023 04:48 PM,Accepted-AOC,Awarded,24-Jul-2024 04:25 PM,,,,,,,,,,,,3.0,212944.0,Tusanta Kalita,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,213067.0,Saiful Islam,INR,1.0,4.0,213899.0,Abu Ansari,02-Dec-2023 11:40 AM,Accepted-AOC,Awarded,24-Jul-2024 04:25 PM,,,,,,,,,,,,4.0,213067.0,Saiful Islam,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,213134.0,M/s S.I. Enterprise,INR,1.0,5.0,214795.0,ABU BAKKAR SIDDIQUE,11-Dec-2023 03:50 PM,Accepted-AOC,Awarded,24-Jul-2024 04:25 PM,,,,,,,,,,,,5.0,213134.0,M/s S.I. Enterprise,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,213151.0,Abdul Salam,INR,1.0,6.0,214168.0,Abu Nasar Ansary,04-Dec-2023 03:40 PM,Accepted-AOC,Awarded,24-Jul-2024 04:25 PM,,,,,,,,,,,,6.0,213151.0,Abdul Salam,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,213367.0,BURGEON AGRI PRIVATE LIMITED,INR,1.0,7.0,214689.0,AHMED ALI,10-Dec-2023 08:43 PM,Accepted-AOC,Awarded,24-Jul-2024 04:25 PM,,,,,,,,,,,,7.0,213367.0,BURGEON AGRI PRIVATE LIMITED,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,213710.0,Pintu Chakraborty,INR,1.0,8.0,214147.0,AHSHANA AHMED,04-Dec-2023 02:37 PM,Accepted-AOC,Awarded,24-Jul-2024 04:25 PM,,,,,,,,,,,,8.0,213710.0,Pintu Chakraborty,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,213825.0,Md Jiyaur Rahman,INR,1.0,9.0,214165.0,AJ Enterprise,04-Dec-2023 03:28 PM,Accepted-AOC,Awarded,24-Jul-2024 04:25 PM,,,,,,,,,,,,9.0,213825.0,Md Jiyaur Rahman,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,213895.0,Contractor,INR,1.0,10.0,214152.0,Altaf Ahmed,04-Dec-2023 02:47 PM,Accepted-AOC,Awarded,24-Jul-2024 04:25 PM,,,,,,,,,,,,10.0,213895.0,Contractor,1.0,L1,,,,,,,,,
