Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender ID :,Tender Ref No :,Tender Title :
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_34_JJM_PB_22_23_T_8218_24,2023_PHED_31275_5,Yes,Open Tender,Item Rate,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BoQ,21-Jun-2023 10:00 AM,20-Jul-2023 03:00 PM,21-Jun-2023 10:00 AM,19-Jul-2023 04:00 PM,NA ,NA ,21-Jun-2023 11:00 AM,19-Jul-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum-01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 05 Fixation of Rates for additional items of New PWSS under JJM Assam for PHE Divisions under North Lakhimpur Circle,PKG 05 Fixation of Rates for additional items of New Piped Water Supply Schemes to be executed under JJM Assam for PHE Divisions under North Lakhimpur Circle,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Rate Contract,120.0,365.0,North Lakhimpur,787001.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_34_JJM_PB_22_23_T_8218_24,2023_PHED_31275_5,Yes,Open Tender,Item Rate,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BoQ,21-Jun-2023 10:00 AM,20-Jul-2023 03:00 PM,21-Jun-2023 10:00 AM,19-Jul-2023 04:00 PM,NA ,NA ,21-Jun-2023 11:00 AM,19-Jul-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum-01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 05 Fixation of Rates for additional items of New PWSS under JJM Assam for PHE Divisions under North Lakhimpur Circle,PKG 05 Fixation of Rates for additional items of New Piped Water Supply Schemes to be executed under JJM Assam for PHE Divisions under North Lakhimpur Circle,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Rate Contract,120.0,365.0,North Lakhimpur,787001.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,13-Aug-2024,INR 1,365.0,Milan Kalita,13-Aug-2024 04:02 PM,PKG_05_NorthLakhimpurCircle.pdf (753.00 KB),1.0,188684.0,DIJIT CHUTIA,INR,1.0,1.0,192763.0,Abanindra Doley,19-Jul-2023 02:59 PM,Accepted-AOC,Awarded,13-Aug-2024 04:03 PM,Finance,Bid has been opened,Milan Kalita,13-Aug-2024 10:49 AM,None,BOQ Comparative Chart,Chief Engineer,Internal,,Milan Kalita,13-Aug-2024 01:31 PM,finsummary_50102.pdf (752.66 KB),1.0,188684.0,DIJIT CHUTIA,1.0,L1,Chief Engineer,Internal,,Milan Kalita,13-Aug-2024 12:27 PM,techsummary_50102.pdf (752.66 KB),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,188736.0,Ganesh Mili,INR,1.0,2.0,191286.0,ABHIJIT GOGOI,11-Jul-2023 02:55 PM,Accepted-AOC,Awarded,13-Aug-2024 04:03 PM,,,,,,,,,,,,,2.0,188736.0,Ganesh Mili,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,188744.0,Jagadish Mili,INR,1.0,3.0,191805.0,ABIN SWARGIARY,14-Jul-2023 02:30 PM,Accepted-AOC,Awarded,13-Aug-2024 04:03 PM,,,,,,,,,,,,,3.0,188744.0,Jagadish Mili,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,188937.0,Jugal Kumbang,INR,1.0,4.0,189608.0,Ahmed Asraf,08-Jul-2023 11:43 AM,Accepted-AOC,Awarded,13-Aug-2024 04:03 PM,,,,,,,,,,,,,4.0,188937.0,Jugal Kumbang,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,189234.0,Mamun Ikramul Haque Chowdhury,INR,1.0,5.0,191718.0,ALEXENDER PEGU,13-Jul-2023 07:19 PM,Accepted-AOC,Awarded,13-Aug-2024 04:03 PM,,,,,,,,,,,,,5.0,189234.0,Mamun Ikramul Haque Chowdhury,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,189261.0,Gunjan Pratim Dutta,INR,1.0,6.0,191910.0,Ambika BAruah,15-Jul-2023 01:18 PM,Accepted-AOC,Awarded,13-Aug-2024 04:03 PM,,,,,,,,,,,,,6.0,189261.0,Gunjan Pratim Dutta,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,189266.0,NIRADA BURAGOHAIN,INR,1.0,7.0,192511.0,ANIMA LAGACHU,18-Jul-2023 06:43 PM,Accepted-AOC,Awarded,13-Aug-2024 04:03 PM,,,,,,,,,,,,,7.0,189266.0,NIRADA BURAGOHAIN,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,189294.0,BRAHMAPUTRA COMMERCE AND TRADE,INR,1.0,8.0,192442.0,ANITA DAS,18-Jul-2023 03:51 PM,Accepted-AOC,Awarded,13-Aug-2024 04:03 PM,,,,,,,,,,,,,8.0,189294.0,BRAHMAPUTRA COMMERCE AND TRADE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,189321.0,M/S DAS ENTERPRISE,INR,1.0,9.0,192201.0,ANKURAJ BHAGAWATI,17-Jul-2023 03:40 PM,Accepted-AOC,Awarded,13-Aug-2024 04:03 PM,,,,,,,,,,,,,9.0,189321.0,M/S DAS ENTERPRISE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,189429.0,BABU DCHAMUAH,INR,1.0,10.0,190848.0,ANUPAM KONCH,11-Jul-2023 10:53 AM,Accepted-AOC,Awarded,13-Aug-2024 04:03 PM,,,,,,,,,,,,,10.0,189429.0,BABU DCHAMUAH,1.0,L1,,,,,,,,,
