Organization Chain ,Tender Title ,Tender Ref No ,Tender ID ,Contract Date ,Contract Value ,Work Completion Period in days ,Updated By ,Updated on ,AOC document ,AOC Description ,Awarded Bidder,Awarded Value,Awarded Currency,Tender ID
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Varanasi II,WOOD AND BUILDING PAINTING WORK AT RTO OFFICE DISTRICT VARANASI (U.P.),873/E.E./VARANASI-1/2023-24,2024_UPRNS_899311_1,27-Feb-2024,"INR 793,000",180,SANJAY KUMAR SRIVASTAVA,27-Feb-2024 12:28 PM,AOC.pdf (127.00 KB),AOC,SUNITA SINGH,"792,682.8",INR,2024_UPRNS_899311_1
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Varanasi II,"BUILDING, WINDOWS AND CAMPUS WALL RENOVATION WORK AT RTO OFFICE DISTRICT VARANASI (U.P.)",872/E.E./VARANASI-1/2023-24,2024_UPRNS_899327_1,27-Feb-2024,"INR 813,000",180,SANJAY KUMAR SRIVASTAVA,27-Feb-2024 12:23 PM,AOC.pdf (129.00 KB),aoc,SUNITA SINGH,"812,674.8",INR,2024_UPRNS_899327_1
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Varanasi II,"Construction of Multipurpose Hall, At Rajkiya Balika Inter College Gangauli, District Ghazipur, U.P.",663/E-NIVIDA/VARANASI-II/23-24,2024_UPRNS_901196_1,29-Feb-2024,"INR 3,607,000",180,SANJAY KUMAR SRIVASTAVA,29-Feb-2024 01:30 PM,AOC.pdf (133.00 KB),AOC,M/S. PARTH CONSTRUCTION,"3,606,278.6",INR,2024_UPRNS_901196_1
UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TC)  Lucknow||SE ETC Sultanpur||EE ETD Sultanpur,WORK,E- Tender No- 07- ETDS- 2023-24,2024_UPTCL_879258_2,27-Jan-2024,"INR 138,500",30,MUKESH KUMAR,27-Jan-2024 12:15 PM,AOC.pdf (215.00 KB),"Sangam Mani Tiwari Traders is awarded CONTRACT for quoting the First lowest rate for Overhauling and servicing of 11 K.V.  Isolators and supplying of male and female Contacts, CT and Bushings",SANGAM MANI TIWARI TRADERS,"138,500",INR,2024_UPRNS_901221_1
UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TC)  Lucknow||SE ETC Sultanpur||EE ETD Sultanpur,WORK,E- Tender No- 07- ETDS- 2023-24,2024_UPTCL_879258_2,27-Jan-2024,"INR 138,500",30,MUKESH KUMAR,27-Jan-2024 12:15 PM,AOC.pdf (215.00 KB),"Sangam Mani Tiwari Traders is awarded CONTRACT for quoting the First lowest rate for Overhauling and servicing of 11 K.V.  Isolators and supplying of male and female Contacts, CT and Bushings",SANGAM MANI TIWARI TRADERS,"138,500",INR,2024_UPTCL_877376_1
UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TC)  Lucknow||SE ETC Sultanpur||EE ETD Sultanpur,WORK,E- Tender No- 07- ETDS- 2023-24,2024_UPTCL_879258_2,27-Jan-2024,"INR 138,500",30,MUKESH KUMAR,27-Jan-2024 12:15 PM,AOC.pdf (215.00 KB),"Sangam Mani Tiwari Traders is awarded CONTRACT for quoting the First lowest rate for Overhauling and servicing of 11 K.V.  Isolators and supplying of male and female Contacts, CT and Bushings",SANGAM MANI TIWARI TRADERS,"138,500",INR,2024_UPTCL_877413_1
UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TC)  Lucknow||SE ETC Sultanpur||EE ETD Sultanpur,WORK,E- Tender No- 07- ETDS- 2023-24,2024_UPTCL_879258_2,27-Jan-2024,"INR 138,500",30,MUKESH KUMAR,27-Jan-2024 12:15 PM,AOC.pdf (215.00 KB),"Sangam Mani Tiwari Traders is awarded CONTRACT for quoting the First lowest rate for Overhauling and servicing of 11 K.V.  Isolators and supplying of male and female Contacts, CT and Bushings",SANGAM MANI TIWARI TRADERS,"138,500",INR,2024_UPTCL_879258_2
UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TC)  Lucknow||SE ETC Sultanpur||EE ETD Sultanpur,WORK,E- Tender No- 09- ETDS- 2023-24,2024_UPTCL_888470_1,22-Feb-2024,"INR 79,600",30,MUKESH KUMAR,22-Feb-2024 02:49 PM,AOC.pdf (122.00 KB),"Switchgear And Transformer Care Centre is awarded the Work of Overhauling, Servicing & Repairing of 132 K.V. SF6, CGL make Breaker Installed at 132 K.V. Kadipur- Lambhua Bay for Quoting L1 rates",SWITCHGEAR AND TRANSFORMER CARE CENTRE,"79,600",INR,2024_UPTCL_888468_1
UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TC)  Lucknow||SE ETC Sultanpur||EE ETD Sultanpur,WORK,E- Tender No- 09- ETDS- 2023-24,2024_UPTCL_888470_1,22-Feb-2024,"INR 79,600",30,MUKESH KUMAR,22-Feb-2024 02:49 PM,AOC.pdf (122.00 KB),"Switchgear And Transformer Care Centre is awarded the Work of Overhauling, Servicing & Repairing of 132 K.V. SF6, CGL make Breaker Installed at 132 K.V. Kadipur- Lambhua Bay for Quoting L1 rates",SWITCHGEAR AND TRANSFORMER CARE CENTRE,"79,600",INR,2024_UPTCL_888470_1
,,,,,,,,,,,,,,2024_YEIDA_878567_11
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Varanasi)||Superintending Engineer (Tubewell) Varanasi||Executive Engineer (MLCD) Varanasi,"Construction of Ramp and Stair at head of Baira East Pump Canal including all cost of material (excluding Cement and brick ), labour, T and P used complete in all respects as per drawing provided by department. as directed by Engineer in Charge.",18/EE/MMLCD/VNS/2023-24,2024_UPIDM_886995_3,21-Feb-2024,"INR 565,552",90,Brijesh Kumar,29-Feb-2024 01:41 PM,104.pdf (333.00 KB),,SUNIL SINGH YADAV,"565,552",INR,2024_UPIDM_886995_3
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Varanasi)||Superintending Engineer (Tubewell) Varanasi||Executive Engineer (MLCD) Varanasi,"Strenthaning of Main canal by New Brick Lining in main Canal between 0.300 Km to 0.600 Km at Baira West Pump Canal  including all cost of material, (excluding Cement and Brick ) labour, T and P used, Complete in all respect as per drawing provided by",18/EE/MMLCD/VNS/2023-24,2024_UPIDM_886995_4,23-Feb-2024,"INR 393,873",90,Brijesh Kumar,10-Jul-2025 10:42 AM,120.pdf (352.00 KB),,ANIL KUMAR SINGH,"393,873",INR,2024_UPIDM_886995_4
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Varanasi)||Superintending Engineer (Tubewell) Varanasi||Executive Engineer (MLCD) Varanasi,"Strenthaning of Benrajawaha ( Left Side of Regulator) by New Brick Lining in main Canal between 0.050 Km to 0.250 Km at Halua Pump Canal  including all cost of material, (excluding Cement and Brick ) labour, T and P used, Complete in all respect as p",18/EE/MMLCD/VNS/2023-24,2024_UPIDM_886995_6,20-Feb-2024,"INR 421,780",90,Brijesh Kumar,29-Feb-2024 01:46 PM,105.pdf (321.00 KB),,SUNIL SINGH YADAV,"421,780",INR,2024_UPIDM_886995_6
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Varanasi)||Superintending Engineer (Tubewell) Varanasi||Executive Engineer (MLCD) Varanasi,"Construction of Ramp and Stair at Slope Bank of Halua Pump Canal including all cost of material (excluding Cement ), labour, T and P used complete in all respects as per drawing provided by department. as directed by Engineer in Charge.",18/EE/MMLCD/VNS/2023-24,2024_UPIDM_886995_7,20-Feb-2024,"INR 598,056",90,Brijesh Kumar,29-Feb-2024 01:55 PM,106.pdf (311.00 KB),,SUNIL SINGH YADAV,"598,056",INR,2024_UPIDM_886995_7
U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E  Irrigation Workshop Circle - I Kanpur||W M Irrigation Workshop Division - Bareilly,"Manufacturing /casting and providing of Nut, Housing  and handle (as per BOQ and drawing) F.O.R. at Irrigation Work Shop Division Bareilly.",07/WM/IWDB/2023-24 LOT04,2024_UPIDM_887405_1,27-Feb-2024,"INR 1,689,600",15,GYAN CHANDRA TIWARI,27-Feb-2024 06:37 PM,07lot04.pdf (773.00 KB),,SAINIK ENGINEERING WORK,"1,689,600",INR,2024_UPIDM_887352_1
