ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/milestones/title,tender/milestones/code,tender/milestones/type,tender/milestones/dueDate,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/bidOpening/date,tender/milestones/type,tender/milestones/title,tender/milestones/dueDate,tender/documents/id,buyer/name,fiscal_year
ocds-kjhdrl-2016_SAG_917_1,tender,tender,1,2021-12-09T10:43:59Z,2016_SAG_917_1,OCSAG/09/08/LOG/2015-2016(ADM),RFP For APPOINTMENT OF TRANSPORTER FOR REVERSE LOGISTICS FROM GUWAHATI and SHILLONG,Works,Open,Works,Miscellaneous Works,2,No,No,1400542,05-Apr-2016 10:00 AM,PreBid Meeting Date,preBidMeetingDate,engagement,08-Apr-2016 4:00 PM,90,No,Offline,Active,Technical Evaluation,1,12-Apr-2016 2:00 PM,assessment,Price Bid Opening Date,18-Apr-2016 11:15 AM,--,Organizing Committee-South Asian Games,2016
ocds-kjhdrl-2016_DoWR_918_1,tender,tender,1,2021-12-09T10:43:59Z,2016_DoWR_918_1,Re-GED/NIT/2015-16/20  Dated 5.12.2015,Kollong-pk24,Works,Open,Works,Civil Works,3,No,No,37307,27-Apr-2016 6:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,,180,No,Offline,Active,To be Opened,0,11-May-2016 2:05 PM,assessment,Price Bid Opening Date,,--,Department of Water Resources||Chief Engineer - DoWR,2016
ocds-kjhdrl-2016_DoWR_919_1,tender,tender,1,2021-12-09T10:43:59Z,2016_DoWR_919_1,Re-TWRD/G/19/VI/11/50,Bamunipam-Pk9,Works,Open,Works,Civil Works,3,No,No,62784,27-Apr-2016 6:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,,180,No,Offline,Active,Technical Bid Opening,1,11-May-2016 2:05 PM,assessment,Price Bid Opening Date,,--,Department of Water Resources||Chief Engineer - DoWR,2016
ocds-kjhdrl-2016_DoWR_920_1,tender,tender,1,2021-12-09T10:43:59Z,2016_DoWR_920_1,Re-TWRD/G/19/VI/11/50,Bamunipam-Pk10,Works,Open,Works,Civil Works,3,No,No,377936,27-Apr-2016 6:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,,180,No,Offline,Active,Technical Bid Opening,2,11-May-2016 2:05 PM,assessment,Price Bid Opening Date,,--,Department of Water Resources||Chief Engineer - DoWR,2016
ocds-kjhdrl-2016_DoWR_921_1,tender,tender,1,2021-12-09T10:43:59Z,2016_DoWR_921_1,Re-SILWRD/E-Tender/SDRF/2016/1,Roypur-pk1,Works,Open,Works,Civil Works,3,No,No,14520000,30-Apr-2016 6:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,,180,No,Offline,Active,Financial Bid Opening,1,14-May-2016 2:05 PM,assessment,Price Bid Opening Date,16-May-2016 2:20 PM,--,Department of Water Resources||Chief Engineer - DoWR,2016
ocds-kjhdrl-2016_HFWD_922_1,tender,tender,1,2021-12-09T10:43:59Z,2016_HFWD_922_1,NAM/SERVICE /2015/12/ 271,TENDER ENQUIRY FORM FOR RATE CONTRACT FOR SUPPLY OF AYRVEDIC AND HOMOEOPATHIC MEDICINE,Goods,Open,Item Rate,Medicines,2,No,No,0,02-May-2016 4:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,16-May-2016 11:00 AM,45,No,Offline,Active,Financial Evaluation,25,09-Jun-2016 3:00 PM,assessment,Price Bid Opening Date,18-Jul-2016 11:00 AM,--,Health and Family Welfare Department||Directorate of AYUSH - HFWD,2016
ocds-kjhdrl-2016_DoWR_923_1,tender,tender,1,2021-12-09T10:43:59Z,2016_DoWR_923_1,Nal-RGR.64/2016/40,Kaplabori-Nalbari-SDRF,Works,Open,Works,Civil Works,3,No,No,26142000,09-May-2016 6:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,,180,No,Offline,Active,Financial Bid Opening,3,23-May-2016 2:05 PM,assessment,Price Bid Opening Date,24-May-2016 1:50 PM,--,Department of Water Resources||Chief Engineer - DoWR,2016
ocds-kjhdrl-2016_DoWR_924_1,tender,tender,1,2021-12-09T10:43:59Z,2016_DoWR_924_1,Nal-RGR.64/2016/36,Peradhara-Nalbari-SDRF,Works,Open,Works,Civil Works,3,No,No,48746000,09-May-2016 6:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,,180,No,Offline,Active,Financial Bid Opening,4,23-May-2016 2:05 PM,assessment,Price Bid Opening Date,24-May-2016 1:50 PM,--,Department of Water Resources||Chief Engineer - DoWR,2016
ocds-kjhdrl-2016_DoWR_925_1,tender,tender,1,2021-12-09T10:43:59Z,2016_DoWR_925_1,Morigaon-RGR.66/2016/50,Bhuragaon-Morigaon-SDRF,Works,Open,Works,Civil Works,3,No,No,39663382,09-May-2016 6:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,,180,No,Offline,Active,Financial Bid Opening,4,23-May-2016 2:05 PM,assessment,Price Bid Opening Date,23-May-2016 5:05 PM,--,Department of Water Resources||Chief Engineer - DoWR,2016
ocds-kjhdrl-2016_DoWR_926_1,tender,tender,1,2021-12-09T10:43:59Z,2016_DoWR_926_1,Dib-West/01 of 2016-17,Bamunibeel area-Dib-SDRF,Works,Open,Works,Civil Works,3,No,No,34860092,09-May-2016 6:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,,180,No,Offline,Active,Financial Bid Opening,5,23-May-2016 2:05 PM,assessment,Price Bid Opening Date,31-May-2016 1:45 PM,--,Department of Water Resources||Chief Engineer - DoWR,2016
ocds-kjhdrl-2016_DoWR_927_1,tender,tender,1,2021-12-09T10:43:59Z,2016_DoWR_927_1,Tez- RGR.1104/2015/42,Tez-Solengi,Works,Open,Works,Civil Works,3,No,No,32971289,10-May-2016 5:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,,180,No,Offline,Active,Financial Bid Opening,6,24-May-2016 2:05 PM,assessment,Price Bid Opening Date,26-May-2016 3:30 PM,--,Department of Water Resources||Chief Engineer - DoWR,2016
ocds-kjhdrl-2016_DoWR_928_1,tender,tender,1,2021-12-09T10:43:59Z,2016_DoWR_928_1,Jor- WR(C )201/2015/19,Sonali pothar-pk2,Works,Open,Works,Civil Works,3,No,No,19462824,10-May-2016 5:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,,180,No,Offline,Active,Financial Bid Opening,6,24-May-2016 2:05 PM,assessment,Price Bid Opening Date,01-Jun-2016 12:00 PM,--,Department of Water Resources||Chief Engineer - DoWR,2016
ocds-kjhdrl-2016_DoWR_929_1,tender,tender,1,2021-12-09T10:43:59Z,2016_DoWR_929_1,Re-JWRD/E-Tender/SDRF/2015/2,Teok-D/S Pk5,Works,Open,Works,Civil Works,3,No,No,463762,10-May-2016 5:00 PM,PreBid Meeting Date,preBidMeetingDate,engagement,,180,No,Offline,Active,Financial Bid Opening,5,24-May-2016 2:05 PM,assessment,Price Bid Opening Date,30-May-2016 12:20 PM,--,Department of Water Resources||Chief Engineer - DoWR,2016
