Organization Chain ,Tender Title ,Tender Ref No ,Tender ID ,Contract Date ,Contract Value ,Work Completion Period in days ,Updated By ,Updated on ,AOC document ,AOC Description ,Awarded Bidder,Awarded Value,Awarded Currency,Tender ID
Yamuna Expressway Industrial Development Authority,"Remaining Internal Development Work Road, Drain ,Sewerage and Water Supply of  Pocket- Q Sector-20 YEA.Wc-02",YEA/GM(PROJECT)/2024/884 DT-15/02/2024,2024_YEIDA_898468_17,14-Aug-2024,"INR 110,903,229.28",730,ASHISH KUMAR SINGH,22-Aug-2024 11:40 AM,AOC884_17.pdf (609.00 KB),aoc,M/s R.K Gupta Contractor,"110,903,229.28",INR,2024_YEIDA_898468_17
Yamuna Expressway Industrial Development Authority,Providing and laying interlocking tiles in Village- Dudhera (Sampark Marg) yea,YEA/GM(PROJECT)/2024/884 DT-15/02/2024,2024_YEIDA_898468_2,22-Aug-2024,"INR 1,201,551.48",180,ASHISH KUMAR SINGH,22-Aug-2024 10:21 AM,2024_YEIDA_898468_2.pdf (4390.00 KB),AOC,M/S DHANK CONSTRUCTION,"1,201,551.48",INR,2024_YEIDA_898468_2
Yamuna Expressway Industrial Development Authority,Construction of Drainage System (Balance work ) in Industrial Sector 32 yeida Wc-03,YEA/GM(PROJECT)/2024/889 DT-21/02/2024,2024_YEIDA_903597_1,01-Aug-2024,"INR 71,928,642.53",365,ASHISH KUMAR SINGH,01-Aug-2024 02:10 PM,889_1.pdf (547.00 KB),AOC,ESSAI INFRATECH PVT. LTD.,"71,928,642.53",INR,2024_YEIDA_898468_6
Yamuna Expressway Industrial Development Authority,Construction of Drainage System (Balance work ) in Industrial Sector 32 yeida Wc-03,YEA/GM(PROJECT)/2024/889 DT-21/02/2024,2024_YEIDA_903597_1,01-Aug-2024,"INR 71,928,642.53",365,ASHISH KUMAR SINGH,01-Aug-2024 02:10 PM,889_1.pdf (547.00 KB),AOC,ESSAI INFRATECH PVT. LTD.,"71,928,642.53",INR,2024_YEIDA_903597_1
Yamuna Expressway Industrial Development Authority,Request for Proposal (RFP) For Selection of Consultant for Preparation of Master plan 2031 for New Agra Urban Centre YEIDA(Phase 2),YEIDA/PLNG/1055/2024 DT-05/03/2024,2024_YEIDA_913215_1,24-Jul-2024,"INR 17,493,226",180,ASHISH KUMAR SINGH,24-Jul-2024 04:44 PM,tractebel.pdf (474.00 KB),LOA,Tractebel Engineering Private Limited,"17,493,226",INR,2024_YEIDA_907991_1
Yamuna Expressway Industrial Development Authority,Request for Proposal (RFP) For Selection of Consultant for Preparation of Master plan 2031 for New Agra Urban Centre YEIDA(Phase 2),YEIDA/PLNG/1055/2024 DT-05/03/2024,2024_YEIDA_913215_1,24-Jul-2024,"INR 17,493,226",180,ASHISH KUMAR SINGH,24-Jul-2024 04:44 PM,tractebel.pdf (474.00 KB),LOA,Tractebel Engineering Private Limited,"17,493,226",INR,2024_YEIDA_913215_1
Yamuna Expressway Industrial Development Authority,Earth filling near plot no-1466 at Sector-32 yeida.Wc-03,YEA/GM(PROJECT)/2024/901 DT-07/03/2024,2024_YEIDA_915303_1,30-Aug-2024,"INR 2,261,304",30,RAJVIR VIRENDRA SINGH,30-Aug-2024 02:40 PM,901.pdf (592.00 KB),aoc,DYNASTY PROMOTERS PRIVATE LIMITED,"2,261,304",INR,2024_YEIDA_915303_1
Yamuna Expressway Industrial Development Authority,"Appointment of Consultant Planning, Performance Monitoring, Project Management and Reporting",YEA/PLNG/1144/2024 DT-15/03/2024,2024_YEIDA_918156_1,24-Jul-2024,"INR 1,406,000",1080,ASHISH KUMAR SINGH,24-Jul-2024 04:38 PM,eandy.pdf (512.00 KB),AOC,ERNST AND YOUNG LLP,"1,406,000",INR,2024_YEIDA_918156_1
Yamuna Expressway Industrial Development Authority,"Cleaning and Sweeping work in Tappal,noorpur, mevanagla and milak villages of YEIDA for One Year Wc-06",YEA/GM(PROJECT)/2024/918 DT-28/06/2024,2024_YEIDA_934596_1,22-Aug-2024,"INR 14,976,179.98",365,ASHISH KUMAR SINGH,22-Aug-2024 10:17 AM,2024_YEIDA_934596_1.pdf (1053.00 KB),AOC,M/S SP GOVT CONTRACTOR AND SUPPLIER,"14,976,179.98",INR,2024_YEIDA_928596_3
Yamuna Expressway Industrial Development Authority,"Cleaning and Sweeping work in Tappal,noorpur, mevanagla and milak villages of YEIDA for One Year Wc-06",YEA/GM(PROJECT)/2024/918 DT-28/06/2024,2024_YEIDA_934596_1,22-Aug-2024,"INR 14,976,179.98",365,ASHISH KUMAR SINGH,22-Aug-2024 10:17 AM,2024_YEIDA_934596_1.pdf (1053.00 KB),AOC,M/S SP GOVT CONTRACTOR AND SUPPLIER,"14,976,179.98",INR,2024_YEIDA_934596_1
