Organization Chain ,Tender Title ,Tender Ref No ,Tender ID ,Contract Date ,Contract Value ,Work Completion Period in days ,Updated By ,Updated on ,AOC document ,AOC Description ,Awarded Bidder,Awarded Value,Awarded Currency,Tender ID
Yamuna Expressway Industrial Development Authority,Barbed wire fencing work of Land for Film City in Sector-21 yea,YEA/GM(PROJECT)/2024/873 DT-30/01/2024,2024_YEIDA_890421_4,13-Mar-2024,"INR 1,996,263.58",90,ASHISH KUMAR SINGH,13-Mar-2024 11:00 AM,pradhan.pdf (680.00 KB),AOC,PRADHAN CONTRACTOR,"1,996,263.58",INR,2024_YEIDA_890421_4
Yamuna Expressway Industrial Development Authority,C/o Boundary wall of park near plot no-120 and 132 Pocket- E sector-20 yeida.Wc-Horti,YEA/GM(PROJECT)/2024/873 DT-30/01/2024,2024_YEIDA_890421_6,15-Mar-2024,"INR 4,688,553.7",180,ASHISH KUMAR SINGH,15-Mar-2024 06:27 PM,873_6.pdf (249.00 KB),aoc,M/S SHIVAM BUILDERS,"4,688,553.7",INR,2024_YEIDA_890421_5
Yamuna Expressway Industrial Development Authority,C/o Boundary wall of park near plot no-120 and 132 Pocket- E sector-20 yeida.Wc-Horti,YEA/GM(PROJECT)/2024/873 DT-30/01/2024,2024_YEIDA_890421_6,15-Mar-2024,"INR 4,688,553.7",180,ASHISH KUMAR SINGH,15-Mar-2024 06:27 PM,873_6.pdf (249.00 KB),aoc,M/S SHIVAM BUILDERS,"4,688,553.7",INR,2024_YEIDA_890421_6
Yamuna Expressway Industrial Development Authority,C/o Boundary wall of all 07 parks pocket-U in sector-20 yeida.Wc-Horti,YEA/GM(PROJECT)/2024/873 DT-30/01/2024,2024_YEIDA_890421_8,15-Mar-2024,"INR 17,121,813.64",180,ASHISH KUMAR SINGH,15-Mar-2024 06:01 PM,873_8.pdf (240.00 KB),aoc,GUPTA ENGINEERS AND  CONTRACTOR,"17,121,813.64",INR,2024_YEIDA_890421_8
Yamuna Expressway Industrial Development Authority,Resurfacing of 75.00mtr wide road ( Road no-17 LHS (ch.0.848 to 2.090km)(ch.0.932 to 2.090km) between Sector-32 and 33 yeida.Wc-03,YEA/GM(PROJECT)/2024/876 DT-02/02/2024,2024_YEIDA_892248_4,15-Mar-2024,"INR 18,226,341.33",90,SUBHASH CHANDRA,15-Mar-2024 12:42 PM,AOC876_4.pdf (180.00 KB),aoc,M/S AKSHI CONSTRUCTION,"18,226,341.33",INR,2024_YEIDA_892248_4
Yamuna Expressway Industrial Development Authority,Construction of Boundrywall of Park Near Plot no-187 and 221 Pocket M in Sector -20 Yeida.Wc-horti,YEA/GM(PROJECT)/2024/879 DT-05/02/2024,2024_YEIDA_893417_14,15-Mar-2024,"INR 1,952,160.77",180,ASHISH KUMAR SINGH,15-Mar-2024 06:19 PM,879_14.pdf (233.00 KB),aoc,A.K CONSTRUCTION,"1,952,160.77",INR,2024_YEIDA_893417_14
Yamuna Expressway Industrial Development Authority,Electrification work for Gaushala Aashrayasthal Dhorau near Yamuna Expressway Agra yea,YEA/OSD(M)/2024/71 DT-09/2/2024,2024_YEIDA_895672_1,16-Mar-2024,"INR 2,059,497.87",90,RAJVIR VIRENDRA SINGH,16-Mar-2024 02:44 PM,71_1.pdf (212.00 KB),AOC,ELECTRO BUILD TECH AND ENGINEERS,"2,059,497.87",INR,2024_YEIDA_895672_1
Yamuna Expressway Industrial Development Authority,"Providing Street Light on 75mtr wide road between Sector 33 and 10, Yea.WC-(E M-02)",YEA/OSD(M)/2024/71 DT-09/2/2024,2024_YEIDA_895672_3,16-Mar-2024,"INR 10,424,781",180,RAJVIR VIRENDRA SINGH,16-Mar-2024 01:59 PM,71_3.pdf (224.00 KB),aoc,H.P. BUILDERS PRIVATE LIMITED,"10,424,781",INR,2024_YEIDA_895672_3
,,,,,,,,,,,,,,2024_YEIDA_895672_4
,,,,,,,,,,,,,,2024_YEIDA_907991_2
