ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/bidOpening/date,tender/milestones/type,tender/milestones/title,tender/milestones/dueDate,tender/awardedAmount,tender/documents/id,buyer/name,Fiscal Year
ocds-f5kvwu-2018_WPTBC_6506_1,tender,tender,1,2024-11-28,2018_WPTBC_6506_1,No TKAC 13/16-17/17 Dtd 19/03/2018,Thengal Gaon River Training Golaghat,Works,Open Tender,Item Rate,Construction Works,,No,No,"70,00,000",24-Mar-2018 09:00 AM,180,No,Offline,Rejected-Finance,,1,29-Mar-2018 03:00 PM,assessment,Price Bid Opening Date,,"6,300,000",,Welfare of Plain Tribes and Backward Classes,2017-2018
ocds-f5kvwu-2018_WPTBC_6507_1,tender,tender,1,2024-11-28,2018_WPTBC_6507_1,TKAC 13/16-17/17 dtd 19/03/2018 Jorhat,Repairing Guide bundh and de siltation work s at Tipomia River phase I phase II and Agriculture bundh cum anti erosion work at Domjan Tanti Basti and adjoining areas Samoguri Jorhat,Works,Open Tender,Item Rate,Construction Works,,No,No,"1,29,58,841",24-Mar-2018 09:00 AM,180,No,Offline,Accepted-AOC,,1,29-Mar-2018 03:00 PM,assessment,Price Bid Opening Date,,"11,662,956",,Welfare of Plain Tribes and Backward Classes,2017-2018
ocds-f5kvwu-2018_WPTBC_6508_1,tender,tender,1,2024-11-28,2018_WPTBC_6508_1,TKAC 13/16-17/17 dtd 19/03/2018 Lahimpur,Erosion protection work near Gormur Village Lakhimpur under Thengal Kachari Autonomous Council,Works,Open Tender,Item Rate,Construction Works,,No,No,"49,87,000",24-Mar-2018 09:00 AM,180,No,Offline,,,1,29-Mar-2018 03:00 PM,assessment,Price Bid Opening Date,,"4,987,000",,Welfare of Plain Tribes and Backward Classes,2017-2018
ocds-f5kvwu-2018_WPTBC_6509_1,tender,tender,1,2024-11-28,2018_WPTBC_6509_1,TKAC 13/16-17/17 Dated 19/03/2018,Construction of Assam Type Godown building of TKAC at Dhali,Works,Open Tender,Percentage,Civil Works,,No,No,"41,46,000",26-Mar-2018 09:00 AM,180,No,Offline,,,1,31-Mar-2018 03:00 PM,assessment,Price Bid Opening Date,,"3,731,400",,Welfare of Plain Tribes and Backward Classes,2017-2018
ocds-f5kvwu-2019_WPTBC_11277_1,tender,tender,1,2024-11-28,2019_WPTBC_11277_1,TKAC 01/18-19/114 dtd 19/01/2019,Construction of Road from Laomuri to No. 2 Gohain gaon at Naruwa Than Dhemaji Flood Damaged Portion under Thengal Kachari Autonomous Council Fund for the year 2017 18,Works,Open Tender,Item Rate,Construction Works,,No,No,"85,40,000",22-Jan-2019 12:00 PM,120,No,Offline,,,1,28-Jan-2019 03:00 PM,assessment,Price Bid Opening Date,,"8,540,000",,Welfare of Plain Tribes and Backward Classes,2018-2019
ocds-f5kvwu-2019_WPTBC_11286_1,tender,tender,1,2024-11-28,2019_WPTBC_11286_1,TKAC 73/2018,SUPPLY OF ITEMS For the Year 2018-19 Re,Goods,Open Tender,Supply,Miscellaneous Goods,,No,No,0.0,22-Jan-2019 01:00 PM,90,No,Offline,Not Admitted-Fee/PreQual/Technical,,1,28-Jan-2019 04:00 PM,assessment,Price Bid Opening Date,,"22,471",,Welfare of Plain Tribes and Backward Classes,2018-2019
ocds-f5kvwu-2020_ASPIR_16050_1,tender,tender,1,2024-11-28,2020_ASPIR_16050_1,FD-12(12)/21/28-ES_BFIN-Fin/7,Supporting and managing the Lead Externally Aided Project LEAP Cell,Services,Open Tender,EOI,Consultancy,,No,No,,24-Jan-2020 02:10 PM,90,No,Not Applicable,,,1,13-Feb-2020 03:00 PM,assessment,Price Bid Opening Date,,0.0,,Finance Department - World Bank Tenders,2019-2020
ocds-f5kvwu-2020_ASPIR_17272_1,tender,tender,1,2024-11-28,2020_ASPIR_17272_1,IN-AS-CFMS-139821-CS-QCBS,Selection of Implementation Agency,Services,Limited,Item Rate,Consultancy,,No,No,,20-Mar-2020 05:00 PM,120,No,Online,Rejected-Technical,,1,08-Jun-2020 02:30 PM,assessment,Price Bid Opening Date,,"117,646,000",,Finance Department - World Bank Tenders,2020-2021
ocds-f5kvwu-2020_ASPIR_19080_1,tender,tender,1,2024-11-28,2020_ASPIR_19080_1,IN-AS-CFMS-196354-CS-QCBS,Request for Expressions of Interest for Engagement of Communications Agency for AS-CFMS,Services,Open Tender,EOI,Consultancy,,No,No,,23-Oct-2020 01:50 PM,180,No,Not Applicable,,,1,05-Nov-2020 03:30 PM,assessment,Price Bid Opening Date,,0.0,,Finance Department - World Bank Tenders,2020-2021
ocds-f5kvwu-2020_ASPIR_19634_1,tender,tender,1,2024-11-28,2020_ASPIR_19634_1,IN-AS-CFMS-196774-GO-RFB,"Supply of Server, Storage, Switches, and related services",Goods,Open Tender,Supply,Computer- H/W,,No,No,,11-Dec-2020 06:55 PM,120,No,Both(Online/Offline),,,1,20-Feb-2021 02:30 PM,assessment,Price Bid Opening Date,,"38,994,218",,Finance Department - World Bank Tenders,2020-2021
