Organization Chain ,Tender Title ,Tender Ref No ,Tender ID ,Contract Date ,Contract Value ,Work Completion Period in days ,Updated By ,Updated on ,AOC document ,AOC Description ,Awarded Bidder,Awarded Value,Awarded Currency,Tender ID
Yamuna Expressway Industrial Development Authority,Maintenance of Street light in 5 villages Package-3 (2024-2025) YEA WC-( E M -03),YEA/OSD(M)/2024/108 DT-13/6/2024,2024_YEIDA_931220_9,22-Oct-2024,"INR 3,061,351.36",365,RAJVIR VIRENDRA SINGH,22-Oct-2024 06:04 PM,AOC108_9.pdf (744.00 KB),aoc,M/s KUSH ENGINEERING WORKS,"3,061,351.36",INR,2024_YEIDA_931220_9
Yamuna Expressway Industrial Development Authority,Internal and External Fire fighting work for Proposed group housing Scheme under Affordable housing in Sector-22D yea,YEA/OSD(M)/2024/110 DT-13/6/2024,2024_YEIDA_932606_5,28-Oct-2024,"INR 18,895,466.85",279,RAJVIR VIRENDRA SINGH,28-Oct-2024 12:46 PM,110_5.pdf (1312.00 KB),aoc,A K GUPTA CONSTRUCTION CO,"18,895,466.85",INR,2024_YEIDA_932606_5
Yamuna Expressway Industrial Development Authority,Construction of 11/0.415kv Sub- Station AND Underground L.T Netwrok in Sector-18 Pocket-7C yea,YEA/OSD(M)/2024/110 DT-13/6/2024,2024_YEIDA_932606_7,23-Oct-2024,"INR 65,564,194.48",549,RAJVIR VIRENDRA SINGH,23-Oct-2024 05:45 PM,AOC110_7.pdf (785.00 KB),AOC,Ekta Electricals,"65,564,194.48",INR,2024_YEIDA_932606_7
Yamuna Expressway Industrial Development Authority,C/o Signages to indicates parks of  different Pocket in different sector in yeida area .Wc- Horti,YEA/GM(PROJECT)/2024/916 DT-28/06/2024,2024_YEIDA_935098_12,22-Oct-2024,"INR 5,267,599.29",180,RAJVIR VIRENDRA SINGH,22-Oct-2024 05:30 PM,AOC916_12.pdf (825.00 KB),AOC,RIVER EDGE CONSTRUCTION,"5,267,599.29",INR,2024_YEIDA_935098_12
Yamuna Expressway Industrial Development Authority,Construction of Library Room in Village Bhatta and Parsol yea,YEA/GM(PROJECT)/2024/916 DT-28/06/2024,2024_YEIDA_935098_15,26-Sep-2024,"INR 4,181,006.1",180,ASHISH KUMAR SINGH,26-Sep-2024 04:19 PM,AOC916_15_0001.pdf (644.00 KB),AOC,M/S HANUMAT BUILDERS,"4,181,006.1",INR,2024_YEIDA_935098_15
Yamuna Expressway Industrial Development Authority,Providing and Fixing of Gantry Board and Retro Reflevtive Signage board at different Location for Sector-24 yea,YEA/GM(PROJECT)/2024/921 DT-12/07/2024,2024_YEIDA_938836_17,21-Oct-2024,"INR 1,295,947.96",180,VIKAS KUMAR,21-Oct-2024 05:55 PM,921_17.pdf (677.00 KB),aoc,M/S G D ENTERPRISES,"1,295,947.96",INR,2024_YEIDA_938836_17
Yamuna Expressway Industrial Development Authority,C/o Boundary wall of remaining park near plot no 356 and 362 with plastering of old parks in pocket-R in sector 20 YEIDA,YEA/GM(PROJECT)/2024/921 DT-12/07/2024,2024_YEIDA_938836_1,22-Oct-2024,"INR 4,518,217.14",180,RAJVIR VIRENDRA SINGH,22-Oct-2024 03:52 PM,AOC921_1.pdf (689.00 KB),AOC,M/S J K BUILDERS,"4,518,217.14",INR,2024_YEIDA_938836_1
,,,,,,,,,,,,,,2024_YEIDA_938836_4
,,,,,,,,,,,,,,2024_YEIDA_938836_6
,,,,,,,,,,,,,,2024_YEIDA_942039_5
