Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Value,Rank,Financial Bid Opening Date:
Office of the Chief Electoral Officer Assam,ELE.104/2023/187,2023_CEO_34339_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical documents,01-Dec-2023 05:15 PM,08-Jan-2024 12:00 PM,01-Dec-2023 05:15 PM,06-Jan-2024 05:00 PM,NA ,NA ,05-Dec-2023 03:00 PM,06-Jan-2024 05:00 PM,25-Jan-2024 01:45 PM,"30,000",No,fixed,,Nil,Nil,1.0,Date Extension,Date,,SBI Bank,"2,000",Nil,Nil,No,Chief Electoral Officer,"OFFICE OF THE CHIE ELECTORAL OFFICER, ASSAM",EMPANELMENT FOR SUPPLY OF STATIONERY and MISC ITEMS,EMPANELMENT FOR SUPPLY OF STATIONERY and MISC ITEMS,Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,180.0,NA ,Guwahati,781006.0,NA ,NA ,NA ,"O/o THE CHIE ELECTORAL OFFICER, ASSAM",No ,No,1.0,28-Feb-2024,INR 1,365.0,Debajit Baruah,28-Feb-2024 05:25 PM,AOC7Tenders.pdf (719.00 KB),214813.0,PAWAN PRINT HOUSE,INR,1.0,06-Jan-2024 12:17 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,Finance,financial bid has been opened,25-Jan-2024 03:05 PM,,BOQ Comparative Chart,CEO,Internal,,1.0,L1,25-Jan-2024 01:45 PM
,,,,,,,,,,,,,,,,.pdf,Bid document downloaded from the portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214831.0,M/S TAMULI PRINTERS,INR,1.0,06-Jan-2024 01:18 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
,,,,,,,,,,,,,,2.0,Finance,.xls,Price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214835.0,M/S LONI ENTERPRISE,INR,1.0,05-Jan-2024 05:14 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214840.0,M/S Patgiri Trading,INR,1.0,06-Jan-2024 01:12 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215013.0,M/S Abhiruchi Enterprise,INR,1.0,05-Jan-2024 05:55 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215049.0,S. B. ENTERPRISE,INR,1.0,05-Jan-2024 05:35 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215083.0,D.I. STATIONERIES,INR,1.0,05-Jan-2024 06:43 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215130.0,SUBRATA SAHA,INR,1.0,06-Jan-2024 12:14 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215134.0,PRITAM DEB,INR,1.0,06-Jan-2024 03:43 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215150.0,BILIN ADHIKARY,INR,1.0,06-Jan-2024 11:36 AM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215172.0,Diptendu Swami,INR,1.0,05-Jan-2024 06:12 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215253.0,Kumarjit Enterprise,INR,1.0,05-Jan-2024 07:35 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215449.0,SAURAV SEN,INR,1.0,03-Jan-2024 07:51 PM,Accepted-AOC,Awarded,28-Feb-2024 05:25 PM,,,,,,,,,1.0,L1,
