Organization Chain ,Tender Title ,Tender Ref No ,Tender ID ,Contract Date ,Contract Value ,Work Completion Period in days ,Updated By ,Updated on ,AOC document ,AOC Description ,Awarded Bidder,Awarded Value,Awarded Currency,Tender ID
Yamuna Expressway Industrial Development Authority,Remaining internal Development work of road Drain Sewerge water supply of Pocket- B Sec-20 yea.Wc-02,YEA/GM(PROJECT)/2024/876 DT-02/02/2024,2024_YEIDA_892248_6,13-Jun-2024,"INR 64,362,430.16",540,ASHISH KUMAR SINGH,13-Jun-2024 05:49 PM,AOC876_6.pdf (594.00 KB),AOC,M/S Uttam Construction Company,"64,362,430.16",INR,2024_YEIDA_892248_6
Yamuna Expressway Industrial Development Authority,Providing and Laying interlocking tiles work in village ramner (Including Construction of drain )  yea,YEA/GM(PROJECT)/2024/879 DT-05/02/2024,2024_YEIDA_893417_6,19-Jun-2024,"INR 224,548.81",30,ASHISH KUMAR SINGH,19-Jun-2024 11:13 AM,2024_YEIDA_893417_6.pdf (3634.00 KB),AOC,PRADHAN CONTRACTOR,"224,548.81",INR,2024_YEIDA_893417_6
Yamuna Expressway Industrial Development Authority,Modification and Maintenance under Operation Kayakalp for J.H.S and P.S school in(Zone 1 )group A Yeida.  Wc-06,YEA/GM(PROJECT)/2024/879 DT-05/02/2024,2024_YEIDA_893417_8,11-Jun-2024,"INR 8,692,023.13",365,ASHISH KUMAR SINGH,11-Jun-2024 05:39 PM,879_8.pdf (718.00 KB),AOC,M/S PANKAJ JAIN,"8,692,023.13",INR,2024_YEIDA_893417_8
Yamuna Expressway Industrial Development Authority,Relpacement of Existing sodium lights by LED Lights on 120mtr wide road (Salarpur Underpass to Village- Moonjkheda) with one year operation and Maintenance yea.WC-(E M-02),YEA/OSD(M)/2024/71 DT-09/2/2024,2024_YEIDA_895672_6,21-Jun-2024,"INR 3,089,165.35",365,ASHISH KUMAR SINGH,21-Jun-2024 05:11 PM,2024_YEIDA_895672_6.pdf (732.00 KB),AOC,ELECTRO BUILD TECH AND ENGINEERS,"3,089,165.35",INR,2024_YEIDA_895672_6
Yamuna Expressway Industrial Development Authority,Providing and Fixing New Handpump Rebore and Repair of Existing Handpump in 107 Village/ R  R (2023) of yeida,YEA/GM(PROJECT)/2024/884 DT-15/02/2024,2024_YEIDA_898468_11,20-Jun-2024,"INR 11,603,142.88",365,RAJVIR VIRENDRA SINGH,20-Jun-2024 05:25 PM,2024_YEIDA_898468_11.pdf (4001.00 KB),AOC,M/S ANOOP SHARMA,"11,603,142.88",INR,2024_YEIDA_895672_8
Yamuna Expressway Industrial Development Authority,Providing and Fixing New Handpump Rebore and Repair of Existing Handpump in 107 Village/ R  R (2023) of yeida,YEA/GM(PROJECT)/2024/884 DT-15/02/2024,2024_YEIDA_898468_11,20-Jun-2024,"INR 11,603,142.88",365,RAJVIR VIRENDRA SINGH,20-Jun-2024 05:25 PM,2024_YEIDA_898468_11.pdf (4001.00 KB),AOC,M/S ANOOP SHARMA,"11,603,142.88",INR,2024_YEIDA_898468_10
Yamuna Expressway Industrial Development Authority,Providing and Fixing New Handpump Rebore and Repair of Existing Handpump in 107 Village/ R  R (2023) of yeida,YEA/GM(PROJECT)/2024/884 DT-15/02/2024,2024_YEIDA_898468_11,20-Jun-2024,"INR 11,603,142.88",365,RAJVIR VIRENDRA SINGH,20-Jun-2024 05:25 PM,2024_YEIDA_898468_11.pdf (4001.00 KB),AOC,M/S ANOOP SHARMA,"11,603,142.88",INR,2024_YEIDA_898468_11
Yamuna Expressway Industrial Development Authority,Supplying and Stacking of  Khal Choker Chilka and Bhusa for Gaushala in Village- Faleda Bangar yea,YEA/GM(PROJECT)/2024/894 DT-28/02/2024,2024_YEIDA_907991_3,24-Jun-2024,"INR 18,228,431.17",365,ASHISH KUMAR SINGH,24-Jun-2024 03:24 PM,aocnewindia.pdf (792.00 KB),AOC,M/S NEW INDIA CONSTRUCTION AND PROPERTIES,"18,228,431.17",INR,2024_YEIDA_898468_5
Yamuna Expressway Industrial Development Authority,Supplying and Stacking of  Khal Choker Chilka and Bhusa for Gaushala in Village- Faleda Bangar yea,YEA/GM(PROJECT)/2024/894 DT-28/02/2024,2024_YEIDA_907991_3,24-Jun-2024,"INR 18,228,431.17",365,ASHISH KUMAR SINGH,24-Jun-2024 03:24 PM,aocnewindia.pdf (792.00 KB),AOC,M/S NEW INDIA CONSTRUCTION AND PROPERTIES,"18,228,431.17",INR,2024_YEIDA_907991_3
Yamuna Expressway Industrial Development Authority,Development work of 7PERCENT abadi plots of Village- Dhanauri (Road Drain and Sewer) in yeida,YEA/GM(PROJECT)/2024/905 DT-15/03/2024,2024_YEIDA_919334_7,19-Jun-2024,"INR 139,299,861.42",540,ASHISH KUMAR SINGH,19-Jun-2024 11:27 AM,2024_YEIDA_919334_7.pdf (764.00 KB),AOC,M/S SKV INFRATECH PRIVATE LIMITED,"139,299,861.42",INR,2024_YEIDA_919334_7
"U P Jal Nigam (HQ), Lucknow||Chief Engineer (Allahabad)||SE, Yantrik Circle, Allahabad||PM, Ganga Pollution Control Unit (II) E-M, Alld","Supply, testing and comissioning of 35 nos Voltage Sabilizer at Divisional Store under Maha Kumbh",193/ NIVIDA / 20 DATED 14-03-2024,2024_UPJNM_918182_1,15-Jun-2024,"INR 6,751,080",120,Santosh Kumar,14-Jun-2024 07:34 PM,ORDER.Stablizer.pdf (369.00 KB),AOC,Atandra Energy Pvt Ltd,"5,333,353",INR,2024_UPJNM_896364_1
