Organization Chain ,Tender Title ,Tender Ref No ,Tender ID ,Contract Date ,Contract Value ,Work Completion Period in days ,Updated By ,Updated on ,AOC document ,AOC Description ,Awarded Bidder,Awarded Value,Awarded Currency,Tender ID
Yamuna Expressway Industrial Development Authority,Construction of 3000kL U.G.R in Sector-33 yea .Wc-03,YEA/GM(PROJECT)/2024/923 DT-12/07/2024,2024_YEIDA_938838_1,23-Dec-2024,"INR 17,014,979.53",365,BHARAM PAL SINGH,23-Dec-2024 03:42 PM,923_1.pdf (1294.00 KB),aoc,M/S KAPIL ENTERPRISES,"17,014,979.53",INR,2024_YEIDA_938838_1
Yamuna Expressway Industrial Development Authority,Development work of Village Muradgarhi to be Develop as smart Village-yea.Wc- 06,YEA/GM(PROJECT)/2024/932 DT-25/07/2024,2024_YEIDA_941237_1,03-Dec-2024,"INR 47,029,737",540,BHARAM PAL SINGH,03-Dec-2024 01:42 PM,AOC932_1.pdf (946.00 KB),AOC,M/S AMIT CONSTRUCTION,"47,029,737",INR,2024_YEIDA_941237_1
Yamuna Expressway Industrial Development Authority,Pumping Out of water in Village- Sabota Mustafabad Dayanatpur Neemka shahpur khwajpur and Kishorpur.Wc- 06,YEA/GM(PROJECT)/2024/934 DT-25/07/2024,2024_YEIDA_941238_5,11-Dec-2024,"INR 294,180.12",180,BHARAM PAL SINGH,11-Dec-2024 11:35 AM,aoc934_5.pdf (708.00 KB),AOC,Vaishali Infra Solutions,"294,180.12",INR,2024_YEIDA_941238_5
Yamuna Expressway Industrial Development Authority,Operation and Maintenance  of Street Light and 02 NOS Tubewell at Sector-32 yeida  Wc-(E M-02),YEA/OSD(M)/2024/128 DT-22/7/2024,2024_YEIDA_942039_1,14-Nov-2024,"INR 1,470,565.7",365,RAJVIR VIRENDRA SINGH,14-Nov-2024 02:06 PM,128_1.pdf (7733.00 KB),AOC,M/S GUPTA ENTERPRISES,"1,470,565.7",INR,2024_YEIDA_941238_6
Yamuna Expressway Industrial Development Authority,Operation and Maintenance  of Street Light and 02 NOS Tubewell at Sector-32 yeida  Wc-(E M-02),YEA/OSD(M)/2024/128 DT-22/7/2024,2024_YEIDA_942039_1,14-Nov-2024,"INR 1,470,565.7",365,RAJVIR VIRENDRA SINGH,14-Nov-2024 02:06 PM,128_1.pdf (7733.00 KB),AOC,M/S GUPTA ENTERPRISES,"1,470,565.7",INR,2024_YEIDA_942039_1
Yamuna Expressway Industrial Development Authority,"Patri dressing , Kerb stone reparing and white wash on central verge of 45mtr. And 100mtr. Wide road in sector -24 ,YEA .WC - 04",YEA/GM(PROJECT)/2024/939 DT-08/08/2024,2024_YEIDA_945064_1,21-Nov-2024,"INR 1,018,191.48",180,BHARAM PAL SINGH,21-Nov-2024 05:40 PM,2024_YEIDA_945064_1.pdf (753.00 KB),AOC,M/S KRISHNATRAY AND CO.,"1,018,191.48",INR,2024_YEIDA_942039_2
Yamuna Expressway Industrial Development Authority,"Patri dressing , Kerb stone reparing and white wash on central verge of 45mtr. And 100mtr. Wide road in sector -24 ,YEA .WC - 04",YEA/GM(PROJECT)/2024/939 DT-08/08/2024,2024_YEIDA_945064_1,21-Nov-2024,"INR 1,018,191.48",180,BHARAM PAL SINGH,21-Nov-2024 05:40 PM,2024_YEIDA_945064_1.pdf (753.00 KB),AOC,M/S KRISHNATRAY AND CO.,"1,018,191.48",INR,2024_YEIDA_942039_9
Yamuna Expressway Industrial Development Authority,"Patri dressing , Kerb stone reparing and white wash on central verge of 45mtr. And 100mtr. Wide road in sector -24 ,YEA .WC - 04",YEA/GM(PROJECT)/2024/939 DT-08/08/2024,2024_YEIDA_945064_1,21-Nov-2024,"INR 1,018,191.48",180,BHARAM PAL SINGH,21-Nov-2024 05:40 PM,2024_YEIDA_945064_1.pdf (753.00 KB),AOC,M/S KRISHNATRAY AND CO.,"1,018,191.48",INR,2024_YEIDA_945064_1
Yamuna Expressway Industrial Development Authority,"Re-Development  of 45mtr. Wide road and RCC drain in sector -29 (part A ) ,YEA WC -04",YEA/GM(PROJECT)/2024/939 DT-08/08/2024,2024_YEIDA_945064_4,12-Nov-2024,"INR 41,860,251.65",365,RAJVIR VIRENDRA SINGH,12-Nov-2024 03:35 PM,2024_YEIDA_945064_4.pdf (563.00 KB),AOC,M/s Goodhill Builders,"41,860,251.65",INR,2024_YEIDA_945064_4
Yamuna Expressway Industrial Development Authority,"Selection of Consultant for Development and Implementation of Human Resource Management System (HRMS) with Operation, Maintenance and Support for 5 (five) years",YEIDA/SYSTEM/271/2024 DT-06/09/2024,2024_YEIDA_953345_1,03-Dec-2024,"INR 2,100,000",1950,BHARAM PAL SINGH,03-Dec-2024 11:00 AM,LOA.pdf (462.00 KB),LOA,AARAV SOFTWARE SERVICES PVT LTD,"2,100,000",INR,2024_YEIDA_953345_1
